topic_num,size,top_words,sample_comments
46,4,"code, qr, clutter, space, allow, info, add","There is not need to clutter the labeling as it confuses consumers. I would suggestion that if this info becomes required, that the TTB allow it to be provided via a QR code instead of having to clutter up labels with all that additional (&amp; ugly!) text. ||| already packed with required information &mdash; varietal, vintage, appellation, health warnings, alcohol content, government statements &mdash; and there&rsquo;s only so much space to work with. Every time you add something new, something else has to give. And for small producers, redesigning labels is expensive and time-consuming.<br/><br/>If the TTB truly wants to make this information availabl ||| If more info is needed by some for various reasons, please add it as a QR code - The labels are works of art and already the infor needed takes a fair amount of space. Also, if a QR code is used, it shoul have a check list form of what needs to be added so it&#39;s easier for all - for the winery to get approval, for your team to approve it and for consumers to find what they"
45,4,"georgiarsquos, wine, strategies, exploring, achieve, decisionmaking, operational","As the proprietor, I am writing to express my concerns regarding the Alcohol and Tobacco Tax and Trade Bureau&rsquo;s (TTB) proposed rule, Notice No. 237 and Notice No. 238, which would mandate the inclusion of &ldquo;Alcohol Facts&rdquo; statements on wine labels. While I support initiatives that promote informed consumer choices, I am apprehensive about the economic and operational challenges th ||| on Georgia&rsquo;s wine industry. By exploring alternative strategies for consumer education, we can achieve the goal of informed decision-making without placing undue burdens on small businesses that are vital to our state&rsquo;s economy and cultural heritage.<br/><br/>Thank you for your attention to this matter. I am committed to promoting responsible consumption and welcome the opportunity to  ||| local wineries.<br/><br/>A blanket statement regarding the number of alcoholic drinks recommended per person is flawed as everybody is different. Even in our required TIPS alcohol license certification, it does not recommend basing the intoxicated level of a person merely upon number of drinks consumed. <br/><br/>Conclusion<br/><br/>I urge you to consider the potential economic and operational imp"
43,4,"commend, nuts, liqueurs, containing, milk, consumers, egg","The purpose of this rule is to label food and beverage products of the potential allergens such as dairy, nuts, eggs, etc if used in the production of alcoholic beverages. I support this ruling as it modernizes current rulings and protects the health and safety of consumers with these allergies. ||| and the consequences of accidental exposure can be severe or even life-threatening. Despite this, many alcoholic beverages&mdash;ranging from beer made with wheat, to liqueurs containing milk or nuts, to wines processed with fish or egg products&mdash;are not currently required to disclose ingredients or allergens. This creates an unacceptable risk for consumers with food allergies and is an outli ||| milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Consumers with food allergies have no way of knowing if they can safely consume alcoholic beverages because neither ingredient lists, nor major allergen labeling is required.<br/>Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol shouldn&rsquo;t be exe"
42,4,"wine, evidence, scientific, endnotes, proteinogenic, schmidtbrexecutive, sectionbrbull","products that do not pose a significant risk to sensitive individuals. We therefore urge TTB to align with global best practices and scientific evidence, limiting mandatory allergen disclosure to cases where validated laboratory methods can detect residues above internationally accepted thresholds.<br/><br/>Thank you for considering our data-driven opposition. We are committed to safe, high-qualit ||| the winemaking process, and even if they were present in the crafting of a wine the sanitary environment of wine ( commonly 12-14% abv and 3-4pH ) along with the even standard levels of filtering needed top make a commercial wine would completely remove any even minor allergy potential. This proposal would only create an completely false sense of potential danger and harm sales, small businesses a ||| testing of finished wine&mdash;present a severe financial burden to small rural wineries, threatening not only their viability but also significant rural economic benefits.<br/>&bull; These costs are unjustified given the lack of evidence for public health benefit in properly produced commercial wine.<br/><br/>Conclusion<br/>Scientific research and international regulatory experience demonstrate t"
41,4,"wine, brand39s, tannins, oak, website, label, believe","While I believe the consumer should be able to access allergen and nutritional information of a wine or spirit brand, I believe this information can be delivered via a common application or website, or at the very least required to be on the brand&#39;s website. There simply is not enough room on a brand&#39;s packaging to include the information required in a legible format. ||| I experienced a potentially life threatening anaphylactic reaction to oak tannins requiring an ER visit as a result of drinking Pinot Gris wine from Iris Winery in Oregon. Fortunately, this wine maker included its ingredients on the wine label, but it&#39;s not on their web site.<br/>As a retired registered dietitian I feel strongly that an ingredient label must include allergens such as oak tanni ||| I do not believe the need for allergen information on wine bottles is necessary and in the public interest and should be a voluntary disclosure at the discretion of the producer. If it is ultimately decided that such information is required, then is should be through the use of a QR code on the label to provide ease of access to the disclosure."
44,4,"loyalty, towards, listen, finally, their, population, increase","disadvantage by not having access to nutrition and allergen information. Not only is it beneficial for health reasons to know what you are consuming, but it also is necessary for safety concerns. By mandating allergen labels there is less risk of consumption of harmful substances. We have the right to know what we are consuming and this regulation needs to be passed. ||| Major food allergen labeling for adult beverages is essential because transparency in food labeling is a public health safety issue that effects 3-5% of the population around the world. If beverage companies were open to transparency, it may even increase revenue and sales when consumers aren&#39;t afraid to get sick from their products. Likewise, encouraging transparency in labeling will create t ||| trust with their consumers and loyalty towards their products. Finally, if major food allergens are listen on products, it may become a trend, and cause an increase in total population health."
39,4,"show, clinical, sensitive, allergenic, individuals, vigne, tests","the final product), consumers might misinterpret the labels, leading to unwarranted concerns about allergens in wine.<br/><br/>Regulatory Uncertainty &amp; Legal Risk &ndash; If there is ambiguity about when an allergen must be disclosed (e.g., residual amounts after filtering), small wineries may face legal risks due to inconsistent interpretations of compliance.<br/><br/>Conclusion:<br/>This pro ||| the following:<br/><br/>1. Standard Winemaking Practices Effectively Remove Allergenic Proteins<br/>&bull; Multiple scientific studies confirm that when wines are produced using good manufacturing practices, including fining followed by bentonite or sheet filtration and sterile filtration, allergenic proteins (e.g., from egg, milk, fish) are removed to undetectable levels (typically &lt;0.1mg/L by ||| residues, and provocation tests on sensitive individuals consistently show no clinical reactions.<br/>&bull; The Organization International de la Vigne et du Vin (OIV) recommends a detection threshold below which labeling is unnecessary, in line with outcomes showing no risk in finished wine.<br/><br/>2. Risks to Allergic Individuals Are Negligible with Commercial Practices<br/>&bull; Clinical cha"
37,4,"more, others, identification, attribute, been, environment, some","for all of those feeling discriminated due to their allergen identity. This small addition can save lives and be more inclusive. Thank you for taking time to read these and remember SAVE LIVES, ADD ALLERGEN LABELS! ||| Some attribute this to better testing and therefore identification. But others believe we have more allergies because of the environment around us. I also think that more and more Americans are finding that they react to allergens in different ways than before. ​Some​ ​just get a minor reaction but more are reacting more severely while others are getting more chronic allergies. It&rsquo;s good to  ||| ​For just about 20 years, there has been ​ongoing rulemaking about allergen labeling. ​There have been some changes but mostly small ones. Today, I believe more and more people think this ​allergen labeling is important and that​ it is a good thing for the labeling rules to adjust to.<br/><br/>Over the past twenty years, studies have shown an increase in allergies. Some attribute this to better te"
36,4,"him, life, omitted, shelfer, thought, wa, absolutely","I whole heartedly encourage the passage of mandatory labeling of nutritional information, ingredient and allergen on all alcoholic beverages.<br/>Charlene Shelfer, Vancouver, wA ||| This should absolutely be required. My son is only four and I watched him almost lose his life to a food allergy. The thought of him navigating a part of every adults life without the proper information is devastating. LABEL THE LIQUOR ||| This is a great idea and should be implemented. What about adding the requirement to display all ingredients and nutrition facts on alcoholic beverages as well? It doesn&#39;t make sense why these (in addition to the allergens) should be omitted from the product label. These should be required so that consumers can make informed decisions about their drink consumption."
35,4,"here, seems, really, quantitative, brainer, debate, plenty","This seems like a reasonable proposal that should be passed. A no brainer! ||| I think this does no harm so why not. Don&rsquo;t really see the need to debate here. 5 years is plenty of time to comply. ||| I am in support of this, but the third exception (TTB Petition) that is stated here seems really vague, and I think it could use some quantitative data behind it to help people who are considering using this option have a bit more clarity."
34,4,"size, allergen, be, requires, font, order, likely","the label of the product. Additionally, it may be harder for consumers to access this information if they do not have compatible technology. The industry may lose business as this would be more time consuming for consumers and they will likely be less inclined to purchase the product all together. Therefore, major food allergen disclosures should be on the actual labels of the alcohol products in  ||| &ldquo;major&rdquo; could lead some consumers to believe that it is somehow more allergenic or more hazardous than the same allergens found in food. <br/><br/>TTB should also mandate the size and placement of the allergen statement. FDA requires a minimum font size for the allergen statement on food labels; this should be done on alcohol labels as well, to prevent manufacturers from minimizing it  ||| changes, the more likely consumers will feel comfortable purchasing products since they will confidently know whether or not it is safe for them to consume. <br/><br/>Finally, it is important for the rule to state that there shall be no amount of an allergen protein in the beverage in order for a company not to list that allergen on their label. Any trace amount of allergen protein can be detrimen"
33,4,"list, minimum, consumer, all, required, transparency, purchases","The minimum information that should be required is a list of all ingredients, including all additives. ||| should be on the label, from a spirit of transparency perspective, raise the bar to match what&rsquo;s required in the food industry, extend the requirement list to manufacturing and processing aides. Access to information improves consumer choice which ultimately should also help drive revenue as uncertainty for the consumer is laid to rest and impulsive purchases are more palatable. ||| unforeseen reactions, including triggering allergic responses.<br/> <br/>Secondly, transparency in labeling aligns with modern consumer expectations and public health advocacy. In 2021, various consumer groups and public health advocates called for mandatory labeling, emphasizing that consumers should have full access to information about the content of the products they consume. The public has ex"
38,4,"affected, safely, those, life, necessary, stake, unknown","balance between industry preparation and urgent public health need.<br/><br/>Consumers deserve to know what&rsquo;s in the products they buy and consume&mdash;especially when their health is at stake. This rule will bring much-needed transparency and safety to a category that has long been exempt from basic labeling standards.<br/><br/>Thank you for considering this important issue, and for workin ||| Nearly 26 million adults in America are affected by a food allergy. Approximately 3% of those affected have life threatening symptoms. It&rsquo;s unbelievable that in our country, we allow for anything consumable to be an unknown life threat to anyone. Please change your label rules so that ALL can consume these products safely. ||| a necessary step toward protecting individuals with food allergies. Labeling allergens such as milk, eggs, fish, shellfish, tree nuts, wheat, peanuts, soybeans, and sesame&mdash;as well as any ingredient containing protein derived from these foods&mdash;is critical for safeguarding health and ensuring equity for consumers with dietary restrictions or medical vulnerabilities.<br/><br/>The proposed "
54,3,"ttb39s, sesame, support, crustacean, soybeans, proposal, peanuts","I support TTB&rsquo;s proposal to require labeling of major food allergens in alcohol beverages. This change will protect consumers with allergies by providing clear, consistent information. Including protein derivatives and allowing a 5-year compliance window is reasonable and thoughtful. Please move forward with finalizing this important rule.<br/><br/>Sincerely,<br/>Concerned Citizen ||| Docket ID: TTB-2025-0003<br/>Subject: Support for Mandatory Major Food Allergen Labeling<br/><br/>I strongly support TTB&#39;s proposal to mandate the disclosure of major food allergens on labels for wines, distilled spirits, and malt beverages. As someone with severe food sensitivities, clear and accurate labeling is essential for protecting my health and ensuring I can confidently make safe cons ||| I would like to fully support TTB&#39;s proposal to require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act. Under the proposed regulations, unless an exception applies, labels must declare milk, eggs, fish, Crustacean shellfish, tree nuts, wheat, peanuts, soybeans, "
60,3,"report, behalf, public, ingredient, 400, acronym, tequilera","These comments are submitted on behalf of the Chamber of the Tequila Industry, Camara Nacional de la Industria Tequilera (CNIT for its acronym in Spanish) ||| On behalf of the Project Extra Mile coalition of more than 400 Nebraskans working to prevent alcohol-related harms resulting from excessive alcohol consumption, we urge the Alcohol and Tobacco Tax Trade Bureau to implement guidelines requiring the disclosure of nutrition, allergen, and ingredient information on labeling serves an important public health purpose. Increased transparency is warranted ||| public health initiatives but also adhere to the discussions and recommendations highlighted in the Treasury&rsquo;s Competition Report on alcohol markets. This report emphasizes that regulatory actions promoting public health should take precedence. Establishing a consistent framework for full ingredient disclosure would reflect a proactive response to these recommendations.<br/> <br/>In conclusi"
59,3,"our, de, proposed, regulations, fevs, flexibility, unintended","Please, find enclosed comments on behalf on the F&eacute;d&eacute;ration des Exportateurs de Vins &amp; Spiritueux de France (FEVS) ||| we offer these on occasion as vertical tasting products to our club members. <br/><br/>Since our labels are permeant as required by TTB, it would be unfeasible to uncork and rebottle only to adhere to the proposed label changes. It would put our product at great risk of spoilage. <br/><br/>We ask if the agency anticipated this impact and its unintended consequences, and to consider our proposed re ||| Dear Alcohol and Tobacco Tax and Trade Bureau:<br/><br/>Thank you for the opportunity to comment on the proposed updates to 27 CFR Parts 4, 5, and 7. I support the TTB&rsquo;s efforts to modernize and clarify labeling regulations for alcohol beverages. I also support proper allergy labeling for wine. Simplifying rules and allowing flexibility for new packaging formats will help the industry grow w"
58,3,"beveragesrdquo, ldquomajor, comments, spirits, attached, distilled, our","&quot;finally, a wine that has no eggs in it! i have been looking all over for something as crucial as this wine!&quot; no more will allergy prone individuals run the risk of tree nuts in their wine. thank you for implementing this policy TTB sign it into law. but, i think instead of a colon after the major food allergy warning, use a semicolon. ||| spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits&rsquo; first export market in value, with exports worth EUR 2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comments  ||| comments on the notice &ldquo;Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages&rdquo;. You will find attached our detailed comments in the attached file."
57,3,"following, word, panel, quotcontainsquot, fdarsquos, ldquocontains, font","&ldquo;Contains Major Food Allergens: wheat and milk.&rdquo; However, the possibility of using &quot;Contains...&quot; is also being considered. From INV perspective, we believe it is more appropriate and convenient to use the word &quot;Contains...&quot; as a specific indication.<br/>Nevertheless, considering that there is a parallel project underway to require ingredient labeling, it could also  ||| from minimizing it in order to fit other information or graphics on the label. Font size is important because the statement should be prominent and easily legible. Following FDA&rsquo;s current formatting requirements for placement will also minimize the amount of consumer adjustment or education needed. If it is located where it is on most foods &ndash; the information panel, immediately followin ||| Overall, following FDA&rsquo;s current requirements for allergen labeling on food products would be most beneficial for consumers. Consumers are already accustomed to seeing &ldquo;Contains:___&rdquo; on food labels. TTB&rsquo;s proposed wording, &ldquo;Contains Major Food Allergen:____&rdquo; may be confusing to consumers. While food industry professionals know that &ldquo;major food allergens&rd"
56,3,"see, attached, please, the, , , ",Please see the attached. ||| See Attached ||| See attached
55,3,"agents, fining, 2018, wuumlthrich, low, al, finished","As a wine consumer I don&#39;t think there are really any allergens besides sulfites that need to be included on the label ||| egg white, casein, or fish gelatine failed to elicit reactions in highly sensitive individuals, validating that finished wine poses extremely low risk of anaphylaxis related to such allergens.<br/>&bull; In rare cases where trace residue was measurable, oral challenge studies involving up to 200mL wine showed no reaction in sensitized subjects.<br/><br/>3. Mandatory Labeling Is Disproportionate an ||| we believe that adding allergen information for primary ingredients would be beneficial to consumers, we do not think that including allergen information for fining agents on our back labels would enhance consumer health and safety. Fining agents pose a very low risk of reaction (Pe&ntilde;as et al., 2015; Vassilopoulou et al., 2011; W&uuml;thrich, 2018), and most wine intolerances are due to sulf"
51,3,"dairy, sense, lists, ingredient, common, wouldrsquove, wanted","Allergens should most definitely be listed on alcohol beverage labels. This will help guide consumers both to and from products within their area of concern. ||| As someone with a dairy allergy, dairy can be a hidden ingredient. I rely heavily on ingredient lists and allergen lists to ensure that foods that I eat and drinks that I drink are safe. Please add allergens to alcohol labels! ||| It&rsquo;s shocking to me that ingredients and major allergens are not already required on these consumable items. It seems the alcohol industry would&rsquo;ve wanted to reduce their liability by including all ingredients and labeling for major allergens, especially given the litigious nature of our society. Liabilities aside, common sense labeling is just common sense. I am respectfully requestin"
53,3,"processes, fiveyear, producers, matter, period, extending, safetybrbradditionally","them, having clear information about potential allergens is not simply a matter of preference&mdash;it&rsquo;s a matter of health and safety. I have a peanut allergy and have had several reactions due to a lack of food allergen information. Extending allergen labeling requirements to alcoholic beverages brings them in line with the standards already applied to food products, which is long overdue. ||| consumer base, as was seen with &ldquo;gluten-free,&rdquo; with potential loss of sales and tax revenue. <br/><br/>4. Most products with residual allergens are marketed with those allergens as crucial product qualities because they contribute to the taste, color, or mouthfeel. Most situations where fining processes result in reactive levels of allergen are, in fact, bartender refinements and mixed ||| allergens such as milk, eggs, fish, Crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame will significantly reduce the risk of accidental exposure and potentially life-threatening reactions. This proposal aligns alcohol beverage labeling standards with those already established for food products, promoting consistency, transparency, and consumer safety.​<br/><br/>Additionally, the"
52,3,"voluntary, cited, undeclared, scientific, reactions, cues, necessity","a top-down regulation on mass producers without addressing establishments, such as through updated allergen training and awareness, further undermines arguments of regulatory necessity on this topic.<br/><br/>Motor Vehicle Mfrs. Ass&rsquo;n v. State Farm, 463 U.S. 29 (1983)<br/> Stockley, C. S., and D. L. Johnson. &quot;Adverse food reactions from consuming wine.&quot; Australian Journal of Grape  ||| a lack of cited scientific evidence of allergic reactions caused by undeclared allergens in wines, spirits, or malt beverages. A claim of regulatory necessity requires a good-faith effort to compile supportive scientific data (APA &sect;706(2)(A)). Further, the European Food Safety Authority (EFSA) has published that finings are unlikely to pose an allergen risk because they are removed through pr ||| opposes the proposed Food Allergen labelling rule because it sends mixed signals about TTB commitment to voluntary compliance, relies on anecdotal incidents rather than hard data, ignores the prevalence of information cues, and the fact that allergic consumers maintain protective behaviors in the absence of label warnings.<br/><br/>RATIONALE IN SUPPORT OF REJECTING THE RULE:<br/><br/>1. Under the "
50,3,"per, serving, number, fat, overconsumption, carbohydrates, marc","allergic reactions caused by unlabeled drinks &mdash; such as alcohol&mdash; may happen. <br/>By adding per-serving information on the beverages, any consumers now have the information to make make informed decisions about the amount of alcohol they are consuming. This also helps consumers to be aware of their caloric intake to understand the effect alcohol could have on their overall health, not  ||| per container, alcohol content, number of ounces per serving, calories per serving, and number of of grams per serving of carbohydrates, fat, and protein( Marc Sorini, 2025). That something like this is important because some people do look at labels like this while buying products. That this can protect their health and safety, and that overconsumption is a problem that has become in recent years ||| per container, alcohol content, number of ounces per serving, calories per serving, and number of of grams per serving of carbohydrates, fat, and protein( Marc Sorini, 2025). That something like this is important because some people do look at labels like this while buying products. That this can protect their health and safety and that overconsumption is a problem that has become in recent years("
49,3,"distillation, affected, government, are, process, existing, they","to labeling on FDA-regulated foods.&rdquo; We can relate to this issue on a personal level, as many of our peers have faced adverse effects from unlabeled alcoholic beverages, even if there was simply cross-contamination involved. We believe 5 years is more than enough time to comply with this regulation. Some companies have argued against this, stating that this may be misleading as they use alle ||| aware of the risks thanks to the existing government warning that is already mandatory. These are responsible adults who are consciously choosing to imbibe with all the existing information. Furthermore, these allergens do not survive the distillation process, and are therefore redundant and unnecessary. This is government overreach due to misplaced good intentions. This should not be instituted. ||| There is no doubt that the law provides more benefits than harms. This proposed regulation allows those with severe allergies access to the information they deserve when buying and consuming beverages. Everyone is affected by not knowing the allergens associated with what they are consuming, but those who face severe allergies are the most affected. Many consumers are at a disadvantage by not havi"
48,3,"adjuncts, please, nut, peanut, left, allergens, added",Please require ingredients and all additives or adjuncts to protect people from allergens ||| Please add disclosure of top 9 allergens. Not knowing if you are consuming your allergen is left threatening. ||| Would only want allergens like peanut or tree nut allergens to be added
47,3,"gap, agree, or, protein, written, lowincome, shared","is premade meatballs. It contains milk in the list. Knowing that the beverage I want to consume is allergy-friendly or safe for me to drink would make a big difference in the allergy community. ||| life-threatening food allergies, we recognize that transparency in ingredient labeling is a matter of public health and safety. The current lack of mandatory allergen disclosure in alcoholic beverages creates a dangerous information gap for millions of Americans with food allergies. This gap leaves them vulnerable to accidental allergen exposure that could result in severe or even fatal anaphylact ||| inconsistencies in how well educated restaurants and bar staff are about food allergy, anaphylaxis and cross-contact issues with food proteins.&rdquo;<br/>We agree that these labels should be written clearly on food products, and should not be shared via QR code, as this may disadvantage individuals without smartphones or the internet, particularly affecting older adults, low-income individuals, a"
61,3,"inventories, existing, library, labeled, before, our, my","and to consider our proposed recommendation for resolution.<br/><br/>Our Recommendation<br/>We are asking TTB add to the proposed regulation a clause that mentions that all existing inventories are retroactively exempt if they were bottled and labeled under the previous version (or the current existing version) of the regulation. This would allow industry members to avoid unnecessary cost and pote ||| multiple years before release. My question is how will my existing COLA-approved and labeled inventories will be affected.<br/><br/>My wine business depends on ageing our wines at various timeframes. We offer library wines that may be aged from 2 to 10 years, and beyond. These existing inventories have been labeled and are aging for an indefinite period in our cellar, and we offer these on occasio ||| mandate implementation period of 5 years, and its impact in existing inventories.<br/><br/>I&rsquo;ve read this proposal three times and I have not read any scope on how this proposal will be applied to existing inventories. There is little or no mention of its applicability to existing inventories and library wines. As anyone knows, wines and wine inventories are typically aged over multiple year"
