topic_num,size,top_words,sample_comments
34,8,"alliance, allergy, yet, hear, major, amp, prevention","My name is Heidi Baxley, I am a licensed Substance Use Prevention Specialist and Chair of the Utah Prevention Coalition Association. Roughly 11% of U.S. adults have food allergies. Many alcoholic beverages contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. But consumers with food allergies have no way of knowing  ||| In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families&mdash;including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen.<br/>This is unacceptable. Alcoholic beverages are one of the only consum ||| In our work, we often hear from Alaskans who are trying to make safer and healthier choices for themselves and their families&mdash;including individuals with food allergies and parents of children with severe reactions. Yet today, they are left guessing whether an alcoholic beverage contains a potentially dangerous allergen.<br/>This is unacceptable. Alcoholic beverages are one of the only consum"
41,7,"39contains39, fi, glycol, accepting, clarifying, urge, assessed","clear labeling can help protect public health and build consumer confidence. However, we respectfully urge the Bureau to consider the operational realities of small, agricultural-based producers and to structure the rule in a way that delivers transparency without creating unintended burdens or confusion.<br/><br/>Distinguishing Ingredients from Processing Aids<br/>We urge TTB to clearly different ||| This new regulation is important to protecting the health and safety of citizens with quality of life reducing, or potentially life-threatening allergies to undisclosed chemical additives such as propylene glycol and polyethylene glycol. There is no reason it should take any corporation five years to comply with the new changes. I suggest a revised one-year compliance date from the publishing of a ||| A compliance date of 5 years from when a final rule is published in the Federal Register is proposed. Since it is necessary to ensure that companies have enough time to prepare for changes, we suggest that the proposed 5-year period not be shortened.<br/>We, however, invite you to consider allowing declaration within voluntary ingredient listing as an alternative to a separate &#39;contains&#39; s"
39,7,"30pxspanbullspan, stylepaddingleft, will, you, choicesbrbrsincerelybrmaria, puffery, 30pxspanreintroduce","This is hugely important for the physical health, safety, and well-being of many Americans! We need more clarity and communication about allergens in the foods and drinks we consume! ||| be allowed to proclaim &quot;Additive-free&quot; or &quot;Free from allergens&quot;? It is my belief that this proposal will lead to more confusion, and puffery statements and will be used to mislead customers. ||| balance between industry preparation and urgent public health need.<br/><br/>Consumers deserve to know what&rsquo;s in the products they buy and consume&mdash;especially when their health is at stake. This rule will bring much-needed transparency and safety to a category that has long been exempt from basic labeling standards.<br/><br/>Thank you for considering this important issue, and for workin"
40,7,"winemakers, california, de, attachment, family, spiritueux, fevs","The attachment contains comments by Family Winemakers of California, ||| Please, find enclosed comments on behalf on the F&eacute;d&eacute;ration des Exportateurs de Vins &amp; Spiritueux de France (FEVS) ||| Please, find enclosed comments on behalf on the F&eacute;d&eacute;ration des Exportateurs de Vins &amp; Spiritueux de France (FEVS)"
35,7,"wineries, small, proposed, fine, we, rulemakingbrcomplying, inc","Thank you for prioritizing consumer safety through allergen labeling. I support the intent of the proposed rule, but I&rsquo;m concerned about the impact on small producers. Many craft wineries, distilleries, and breweries may lack the resources to verify allergen presence from processing aids like egg whites or isinglass. This could lead to either inaccurate precautionary labeling or excessive co ||| De Maison Selections Inc. is a small business with 20 employees that imports fine wines, ciders, and spirits from small, family-owned wineries in France and Spain. We are addressing the questions the TTB raised in the notice of proposed rulemaking. <br/><br/>Overall Comment on Proposed Rulemaking:<br/>Complying with the proposed regulation would result in up-front costs in both time and money. Whi ||| De Maison Selections Inc. is a small business with 20 employees that imports fine wines, ciders, and spirits from small, family-owned wineries in France and Spain. We are addressing the questions the TTB raised in the notice of proposed rulemaking. <br/><br/>Overall Comment on Proposed Rulemaking:<br/>Complying with the proposed regulation would result in up-front costs in both time and money. Whi"
38,7,"beveragesbrbras, old, 21, young, am, person, mandatory","believe it is important to have mandatory allergen labeling​ because there are so many brands and because so many people have allergies. I support the labeling on milk, eggs, fish, shellfish, tree, nuts, wheat, peanuts, soy beans, sesame. I also think that they should consider seeking comments on some of the various additive chemicals that might be present in alcohol beverages.<br/><br/>As a young ||| believe it is important to have mandatory allergen labeling​ because there are so many brands and because so many people have allergies. I support the labeling on milk, eggs, fish, shellfish, tree, nuts, wheat, peanuts, soy beans, sesame. I also think that they should consider seeking comments on some of the various additive chemicals that might be present in alcohol beverages.<br/><br/>As a young ||| believe it is important to have mandatory allergen labeling​ because there are so many brands and because so many people have allergies. I support the labeling on milk, eggs, fish, shellfish, tree, nuts, wheat, peanuts, soy beans, sesame. I also think that they should consider seeking comments on some of the various additive chemicals that might be present in alcohol beverages.<br/><br/>As a young"
36,7,"people, mdash, class, speak, freedom, this, keep","and the growing momentum around ingredient transparency &mdash; reflects the fact that people want to make informed choices. Alcohol should not be exempt from this movement, especially when it&rsquo;s such a widely consumed product in the U.S.<br/><br/>We label ingredients in soda, juice, and energy drinks &mdash; it makes no sense that wine, beer, and spirits remain behind a curtain of secrecy. F ||| I support this policy because it does not seem like it is that much extra effort on the companies producing the alcoholic beverages in order to keep citizens safe. Some manufacturers may argue that this will scare off consumers, limiting sales, or slow down production. However, these are minimal hurdles in order to ensure the safety of thousands of people on a daily basis. I am curious, however, h ||| I am very disappointed with this agency. I do not want the beautiful bottles in the liquor store to be flooded with regulatory comments and warnings about the consequences of drinking/ the hazards that could come with boozing on a Wednesday night. If people are worried about their health concerns or allergies, then they probably should not be drinking. I think I speak for all working class America"
37,7,"allergies, with, frequently, lawsbrreduce, reactionsbrbrclear, are, food","As someone with life-threatening food allergies, I strongly support the FDA&rsquo;s efforts to require allergen labeling on alcoholic beverages. The lack of clear, standardized allergen information on alcohol poses serious and avoidable risks for millions of Americans with food allergies and intolerances.<br/><br/>Currently, those with allergies to ingredients such as wheat, nuts, soy, dairy, or e ||| Please sign this bill into law. It could save lives. Allergies are a life threatening food disability, many of those suffering with food allergies are unaware of what their beverages may contain. Some may come to find out by having a beverage with friends and instead of enjoying their day end up enduring an allergic reaction. Alcoholic beverages should be held to the same standards as food and dri ||| It would save lives and panic when it comes to consuming alcohol as an adult with food allergies. I have severe tree nut allergies - Amaretto and almond extract are frequently used in drinks. There are also beers/ciders that use hazelnuts and other various forms of nuts for flavor. These have never been explicitly labeled, and I&#39;ve frequently had to hold back on consuming different drinks due "
42,6,"meat, concerns, moral, some, dairy, religious, people","allergens besides the health ramifications of some groups is the moral and religious aspect to it. There are certain religious groups that consume alcohol, but maintain dietary restrictions for some food items. In Catholicism and Eastern Orthodoxy some fasting periods can restrict meat, dairy, and fish. In Judaism, the Kosher laws prohibit foods such as pork and shellfish, meat can only be consume ||| only be consumed if kosher-slaughtered, and forbid meat and dairy from mixing in the same meal. Additionally some grains are restricted during Passover. Without clear labeling on alcoholic beverages, it may make it difficult for people to adhere to their faith and could inadvertently consume ingredients that conflict with their religious beliefs.<br/><br/>That being said, there are people who avoi ||| only be consumed if kosher-slaughtered, and forbid meat and dairy from mixing in the same meal. Additionally some grains are restricted during Passover. Without clear labeling on alcoholic beverages, it may make it difficult for people to adhere to their faith and could inadvertently consume ingredients that conflict with their religious beliefs.<br/><br/>That being said, there are people who avoi"
43,6,"comments, tobiassen, brbr, brbrrobert, tobiassenbrpresident, please, brbrnabi",Please see our comments attached. ||| See attached for comments from Center for Science in the Public Interest ||| See attached for comments from Center for Science in the Public Interest
44,6,"research, ldquodigging, healthbrbrcitationsbrglim, roots, melissa, food, inconsistencies","inconsistencies in how well educated restaurants and bar staff are about food allergy, anaphylaxis and cross-contact issues with food proteins.&rdquo;<br/>We agree that these labels should be written clearly on food products, and should not be shared via QR code, as this may disadvantage individuals without smartphones or the internet, particularly affecting older adults, low-income individuals, a ||| The Alcohol and Tobacco Tax and Trade Bureau proposes new regulation on allergen labeling for alcoholic beverages. This is an important change, but it is long overdue, and the five-year deadline for compliance only adds to the already long history of allergen research and legislation. Major food allergens were not fully defined until 2004, and since then requests for major food allergens used in p ||| that the prevalence of food allergies has &ldquo;increased by 50 percent since the 1990s, making it a serious public health concern&rdquo; (Glim). The inconsistencies are doubly troubling due to alcoholic beverages remaining exempt from broader allergen labeling laws, posing risks to those with serious conditions like celiac disease and other grain-based allergies (AAAAI, 2025). A clear, uniform s"
45,6,"amount, contained, corn, claims, fructose, listrdquo, stating","65% supported adding allergens, and 66% supported adding calorie content [4]. On top of this, the CSPI found that &ldquo;more than 75% of respondents&rdquo; preferred reading this information on the label rather than through an online resource. Despite the favoritism, the government has made the majority of labeling policies voluntary. The CSPI found that only &ldquo;17% of labels contained an ing ||| 65% supported adding allergens, and 66% supported adding calorie content [4]. On top of this, the CSPI found that &ldquo;more than 75% of respondents&rdquo; preferred reading this information on the label rather than through an online resource. Despite the favoritism, the government has made the majority of labeling policies voluntary. The CSPI found that only &ldquo;17% of labels contained an ing ||| 65% supported adding allergens, and 66% supported adding calorie content [4]. On top of this, the CSPI found that &ldquo;more than 75% of respondents&rdquo; preferred reading this information on the label rather than through an online resource. Despite the favoritism, the government has made the majority of labeling policies voluntary. The CSPI found that only &ldquo;17% of labels contained an ing"
46,6,"support, strong, alcohol, major, subject, require, clear","To Whom It May Concern:<br/><br/>I write in strong support of the Alcohol and Tobacco Tax and Trade Bureau&rsquo;s (TTB) proposed rule to require the labeling of major food allergens on alcoholic beverages subject to TTB&rsquo;s regulatory authority.<br/><br/>The inclusion of clear and consistent allergen labeling is long overdue. Consumers with food allergies must be able to make informed decisio ||| Public Comment on Notice No. 238 &ndash; Major Food Allergen Labeling for Alcohol Beverages<br/><br/>I am writing in support of TTB&rsquo;s proposed rule to require mandatory labeling of major food allergens on alcohol beverages. As someone who works at Walgreens, where we operate a liquor store, I have seen firsthand how alcohol products currently lack clear allergen labeling. While I have not ye ||| I would like to fully support TTB&#39;s proposal to require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority under the Federal Alcohol Administration Act. Under the proposed regulations, unless an exception applies, labels must declare milk, eggs, fish, Crustacean shellfish, tree nuts, wheat, peanuts, soybeans, "
51,5,"european, ceev, spirits, represents, exports, eu, wines","CEEV contribution to TTB consultation on Notice No. 238 - Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages <br/>Comit&eacute; Europ&eacute;en des Entreprises Vins (CEEV) represents the wine companies in the industry and trade in the <br/>European Union. Its members produce and market the vast majority of quality European wines, with and without <br/>a geographical indi ||| spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits&rsquo; first export market in value, with exports worth EUR 2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comments  ||| spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits&rsquo; first export market in value, with exports worth EUR 2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comments "
54,5,"code, qr, clutter, space, room, allow, info","There is not need to clutter the labeling as it confuses consumers. I would suggestion that if this info becomes required, that the TTB allow it to be provided via a QR code instead of having to clutter up labels with all that additional (&amp; ugly!) text. ||| already packed with required information &mdash; varietal, vintage, appellation, health warnings, alcohol content, government statements &mdash; and there&rsquo;s only so much space to work with. Every time you add something new, something else has to give. And for small producers, redesigning labels is expensive and time-consuming.<br/><br/>If the TTB truly wants to make this information availabl ||| If more info is needed by some for various reasons, please add it as a QR code - The labels are works of art and already the infor needed takes a fair amount of space. Also, if a QR code is used, it shoul have a check list form of what needs to be added so it&#39;s easier for all - for the winery to get approval, for your team to approve it and for consumers to find what they"
53,5,"journal, 2017, br, consumersquot, containrdquo, quotldquomay, louise","not yet encountered a customer who experienced an allergic reaction, the absence of this information poses a hidden risk. People with allergies deserve to know what is in the products they consume, especially when the consequences can be life-threatening.<br/><br/>Labeling allergens such as milk, peanuts, or shellfish which are ingredients that are commonly known to trigger serious reactions, shou ||| ; Mainente, Federica, et al. &quot;The food allergy risk management in the EU labelling legislation.&quot; Journal of Agricultural and Environmental Ethics 30 (2017): 275-285. <br/> Hefle, Susan L., et al. &quot;Consumer attitudes and risks associated with packaged foods having advisory labeling regarding the presence of peanuts.&quot; Journal of Allergy and Clinical Immunology 120.1 (2007): 171-1 ||| Louise Manning. &quot;&ldquo;May Contain&rdquo; allergen statements: Facilitating or frustrating consumers?.&quot; Journal of consumer policy 40.4 (2017): 447-472.<br/> https://www.researchgate.net/publication/276387231_Consumer_Perceptions_of_Gluten-Free_Products_and_the_Healthfulness_of_Gluten-Free_Diets <br/> Michigan v. EPA, 576 U.S. 743, 2015)<br/><br/>"
52,5,"butter, vector, ldquoit, bull, costco, wiiingsrdquo, false","single-ingredient products, small-package foods, or on-site foods, this should be applied to alcoholic beverages too. Nutritional labels at their base serve as a vector for informed consent, particularly to prevent legal action from being taken in case of harm toward consumers. If Red Bull has to say that &ldquo;it gives you wiiings&rdquo; to avoid false advertising [6], and Costco has recall tens ||| single-ingredient products, small-package foods, or on-site foods, this should be applied to alcoholic beverages too. Nutritional labels at their base serve as a vector for informed consent, particularly to prevent legal action from being taken in case of harm toward consumers. If Red Bull has to say that &ldquo;it gives you wiiings&rdquo; to avoid false advertising [6], and Costco has recall tens ||| single-ingredient products, small-package foods, or on-site foods, this should be applied to alcoholic beverages too. Nutritional labels at their base serve as a vector for informed consent, particularly to prevent legal action from being taken in case of harm toward consumers. If Red Bull has to say that &ldquo;it gives you wiiings&rdquo; to avoid false advertising [6], and Costco has recall tens"
50,5,"served, ways, qr, smart, drinks, device, do","Individuals that need to ensure allergenic content of the commodity they are about to ingest is safe for consumption for them, would likely prefer that this information is readily available and accessible simply by reading the products label. Requiring the consumer to use technology such as a QR code creates accessibility barriers on various layers and may lead to undue risk. Whether in a retail s ||| products. The TTB is also asking for a comment on the alternative ways for these allergens and nutritional information, I do not agree on using QR codes due to not everyone having a smart device. There could be ways it could be put on drinks served to the public that are nonalcoholic. If they can do that for the drinks served to the public, they can require it on alcoholic beverages. ||| TTB is also asking for a comment on the alternative ways for these allergens and nutritional information, I do not agree on using QR codes due to not everyone having a smart device. Their could be ways it could be put on drinks served to the public that are non alcoholic. If they can do that for the drinks served to the public they can require it on alcoholic beverages. <br/>"
49,5,"deaths, 24, visits, hospitalizations, department, emergency, were","for protection under the Americans with Disabilities Act of 1990 and Section 504 of the Rehabilitation Act of 1973, showing the importance of clear allergen labeling for consumers.<br/><br/>In the United States 6.2% of adults and 5.8% of children have a food allergy. Between 2000 - 2014, a study was tracking the deaths, emergency department visits, and hospitalizations due to food allergies in New ||| allergies in New York City. The study recorded that there were 24 deaths, 3049 hospitalizations and 4014 emergency department visits that were linked to food or drink allergies. Concerningly, out of the 24 deaths, 15 of the deaths were from allergens (milk, eggs, fish, crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame) that this regulation would enforce to be labeled on certain ||| allergies in New York City. The study recorded that there were 24 deaths, 3049 hospitalizations and 4014 emergency department visits that were linked to food or drink allergies. Concerningly, out of the 24 deaths, 15 of the deaths were from allergens (milk, eggs, fish, crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame) that this regulation would enforce to be labeled on certain"
48,5,"million, reactionary, 2243, survey, brbraccording, trend, national","of a reactionary regulation. <br/><br/>According to the National Survey on Drug Use and Health of 2023, there were 224.3 million people ages 12 and older or 79.1% of people in the US had drunk alcohol at some point in their life. A rough calculation would determine that approximately 13.7 million people have food allergies and consume or have consumed alcohol. With such a large percentage of the p ||| labeled on certain alcohol. That is not to say that the reactions took place due to consumption of alcohol, but highlights the importance and need to minimize harmful situations. This study also found a concerning trend that hospitalizations and ED visits increased throughout the 15 years. With this rising trend it would be wise to create a proactive regulation instead of a reactionary regulation. ||| labeled on certain alcohol. That is not to say that the reactions took place due to consumption of alcohol, but highlights the importance and need to minimize harmful situations. This study also found a concerning trend that hospitalizations and ED visits increased throughout the 15 years. With this rising trend it would be wise to create a proactive regulation instead of a reactionary regulation."
47,5,"said, regulation, necessary, lack, being, bureau, extremely","products. That being said, this proposed regulation is necessary and extremely important. The lack of major food allergens on wines, distilled spirits, and malt beverages is outdated and could be dangerous. A food allergy is an impairment, where the body&#39;s immune system reacts negatively to certain proteins in food, that can limit a person&#39;s life activity and can qualify someone for protec ||| Since the creation of the Alcohol and Tobacco Tax and Trade Bureau (TTB) in 2003 after an extensive reorganization of the Bureau of Alcohol, Tobacco, Firearms, and Explosives (ATF), the TTB has been the main agency in control of alcoholic beverages. The TTB works closely with the Food and Drug Administration (FDA) for the health and safety of their consumable products. That being said, this propos ||| Since the creation of the Alcohol and Tobacco Tax and Trade Bureau (TTB) in 2003 after an extensive reorganization of the Bureau of Alcohol, Tobacco, Firearms, and Explosives (ATF), the TTB has been the main agency in control of alcoholic beverages. The TTB works closely with the Food and Drug Administration (FDA) for the health and safety of their consumable products. That being said, this propos"
63,4,"executive, order, recommendations, dated, sizesrdquothinsp, august, revoked","of three exceptions apply. TTB proposes a compliance date of 5 years from the date that a final rule resulting from this proposal is published in the Federal Register.<br/>I strongly support this proposed regulation to adopt RIN 1513-AC94.<br/>As incoming medical professionals, one rationale behind our support is ensuring accessibility of allergen advisories and safety to everyone purchasing alcoh ||| contained several recommendations, including that &ldquo;TTB should revive or initiate rulemaking proposing ingredient labeling and mandatory information on alcohol content, nutritional content, and appropriate serving sizes.&rdquo;&thinsp; Consistent with the Competition Report&#39;s recommendations, TTB revisited the issue of mandatory allergen labeling for alcohol beverages. However, by Executi ||| contained several recommendations, including that &ldquo;TTB should revive or initiate rulemaking proposing ingredient labeling and mandatory information on alcohol content, nutritional content, and appropriate serving sizes.&rdquo;&thinsp; Consistent with the Competition Report&#39;s recommendations, TTB revisited the issue of mandatory allergen labeling for alcohol beverages. However, by Executi"
69,4,"prone, colon, semicolon, winequot, run, beveragesrdquo, quotfinally","comments on the notice &ldquo;Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages&rdquo;. You will find attached our detailed comments in the attached file. ||| &quot;finally, a wine that has no eggs in it! i have been looking all over for something as crucial as this wine!&quot; no more will allergy prone individuals run the risk of tree nuts in their wine. thank you for implementing this policy TTB sign it into law. but, i think instead of a colon after the major food allergy warning, use a semicolon. ||| &quot;finally, a wine that has no eggs in it! i have been looking all over for something as crucial as this wine!&quot; no more will allergy prone individuals run the risk of tree nuts in their wine. thank you for implementing this policy TTB sign it into law. but, i think instead of a colon after the major food allergy warning, use a semicolon."
68,4,"placement, coincides, assess, ability, panel, commentary, broadest","from minimizing it in order to fit other information or graphics on the label. Font size is important because the statement should be prominent and easily legible. Following FDA&rsquo;s current formatting requirements for placement will also minimize the amount of consumer adjustment or education needed. If it is located where it is on most foods &ndash; the information panel, immediately followin ||| product for their health and safety. <br/><br/>Labeling for allergens on packaging at the point of sale allows the broadest spectrum of consumers the ability to assess the safety of a product for purchase. This placement is important as it coincides with packaged food labeling and is where consumers are accustomed to looking for allergen and nutritional information. (Please see attached for more c ||| product for their health and safety. <br/><br/>Labeling for allergens on packaging at the point of sale allows the broadest spectrum of consumers the ability to assess the safety of a product for purchase. This placement is important as it coincides with packaged food labeling and is where consumers are accustomed to looking for allergen and nutritional information. (Please see attached for more c"
67,4,"swaths, onlineonly, processing, land, digital, alaska, large","QR codes or online-only disclosures. Alaska has large swaths of rural and Tribal land where digital access is limited or unavailable&mdash;this rule must ensure equity by making vital safety information universally accessible.<br/>2.<span style='padding-left: 30px'></span>Do Not Exempt Processing Aids<br/>Allergic reactions can occur even if the allergenic ingredient was used as a processing aid.  ||| required to disclose major allergens. And yet many contain common allergens such as wheat, milk, eggs, or tree nuts&mdash;sometimes used directly, and other times as hidden processing aids.<br/>We applaud TTB for advancing this proposal and recommend the following improvements to ensure it truly protects consumers:<br/>1.<span style='padding-left: 30px'></span>Require On-Package Disclosure<br/>All ||| required to disclose major allergens. And yet many contain common allergens such as wheat, milk, eggs, or tree nuts&mdash;sometimes used directly, and other times as hidden processing aids.<br/>We applaud TTB for advancing this proposal and recommend the following improvements to ensure it truly protects consumers:<br/>1.<span style='padding-left: 30px'></span>Require On-Package Disclosure<br/>All"
66,4,"alaska, protecting, same, ceobrrecover, alaskabrbr, protections, accessmdashdeserve","long for basic safety information. We urge TTB to shorten the proposed 5-year compliance period to 3.5 years.<br/>Alaskans with food allergies&mdash;particularly in remote areas with limited healthcare access&mdash;deserve the same protections as everyone else. This rule is a long-overdue and essential move toward that goal. Thank you for your leadership in protecting consumers and ensuring that a ||| To Whom It May Concern,<br/>Thank you for the opportunity to comment on this important rulemaking to require allergen labeling for alcoholic beverages. Recover Alaska strongly supports this proposed rule as a meaningful step forward in protecting public health and advancing transparency for all consumers.<br/>Recover Alaska is a statewide coalition dedicated to reducing excessive alcohol use and i ||| To Whom It May Concern,<br/>Thank you for the opportunity to comment on this important rulemaking to require allergen labeling for alcoholic beverages. Recover Alaska strongly supports this proposed rule as a meaningful step forward in protecting public health and advancing transparency for all consumers.<br/>Recover Alaska is a statewide coalition dedicated to reducing excessive alcohol use and i"
65,4,"br, letter, brwashington, dc, division, eilers, regulations","Dear Alcohol and Tobacco Tax and Trade Bureau:<br/><br/>Thank you for the opportunity to comment on the proposed updates to 27 CFR Parts 4, 5, and 7. I support the TTB&rsquo;s efforts to modernize and clarify labeling regulations for alcohol beverages. I also support proper allergy labeling for wine. Simplifying rules and allowing flexibility for new packaging formats will help the industry grow w ||| NOTE - The Attach Files would function would not let me upload the comment letter. Below is a portion of the letter and I will email the full letter to Mr. Eilers. <br/> <br/>National Press Building <br/>Suite 1300-NPC <br/>Washington, DC 20045 <br/>August 15, 2025 <br/> <br/>Submitted by regulations.gov <br/> <br/>Director, Regulations and Ruling Division <br/>Alcohol and Tobacco Tax and Trade Bu ||| NOTE - The Attach Files would function would not let me upload the comment letter. Below is a portion of the letter and I will email the full letter to Mr. Eilers. <br/> <br/>National Press Building <br/>Suite 1300-NPC <br/>Washington, DC 20045 <br/>August 15, 2025 <br/> <br/>Submitted by regulations.gov <br/> <br/>Director, Regulations and Ruling Division <br/>Alcohol and Tobacco Tax and Trade Bu"
64,4,"competition, report, economyrdquo, ldquopromoting, proposals, spiritsrdquo, treasury","more accurate information and is what the vast majority of consumer rely on.<br/><br/>Regulatory Environment<br/><br/>Notice 238 cites the Treasury Report on Competition as an impetus for revisiting this proposal. On February 9, 2022, the Department of the Treasury, in consultation with the Department of Justice and the Federal Trade Commission, released a report entitled &ldquo;Competition in the ||| and Spirits&rdquo; (Competition Report). The Competition Report was required by Executive Order 14036, &ldquo;Promoting Competition in the American Economy&rdquo;. One of the Competition Report&#39;s findings directed agencies to review &ldquo;[r]egulatory proposals that could serve public health and foster competition by providing information to consumers, such as mandatory allergen, nutrition, a ||| and Spirits&rdquo; (Competition Report). The Competition Report was required by Executive Order 14036, &ldquo;Promoting Competition in the American Economy&rdquo;. One of the Competition Report&#39;s findings directed agencies to review &ldquo;[r]egulatory proposals that could serve public health and foster competition by providing information to consumers, such as mandatory allergen, nutrition, a"
55,4,"infer, detriment, most, religious, since, falcpa, act","With such a large percentage of the population consuming alcohol, the lack of allergen labeling presents a health risk to some individuals. Most other processed products and products that contain added ingredients require there to be an allergen label. Though the products that fall under these regulations are guided by the FDA while alcohol is not. This is also a detriment to consumers as most Ame ||| detriment to consumers as most Americans would infer that since the Food Allergen Labeling and Consumer Protection (FALCPA) Act of 2004 and Food Allergy Safety, Treatment, Education and Research (FASTER) Act of 2021 that alcohol would also be covered. It would inherently be sensible for commonly consumed products to also have food allergen labeling. <br/><br/>Another concern for not labeling major ||| detriment to consumers as most Americans would infer that since the Food Allergen Labeling and Consumer Protection (FALCPA) Act of 2004 and Food Allergy Safety, Treatment, Education and Research (FASTER) Act of 2021 that alcohol would also be covered. It would inherently be sensible for commonly consumed products to also have food allergen labeling. <br/><br/>Another concern for not labeling major"
62,4,"smes, european, internal, 99, a3br, entrepreneurship, dg","for over 90% of European wine exports. Micro and small and medium<br/>sized enterprises (SMEs) are the backbone of the EU wine sector, representing more than 99% of wine <br/>companies. ||| These comments are submitted on behalf of the European Commission, DG Internal Market, Industry, Entrepreneurship and SMEs (GROW) International Value Chains &ndash; A3<br/> ||| These comments are submitted on behalf of the European Commission, DG Internal Market, Industry, Entrepreneurship and SMEs (GROW) International Value Chains &ndash; A3<br/>"
61,4,"date, tree, publication, wheat, eggs, peanuts, shellfish","compliance date five years from the publication of the final rule, which allows manufacturers ample time to adapt. However, we encourage TTB to consider whether a shorter timeline could be safely implemented, particularly for high-risk allergens like peanuts and shellfish.<br/><br/>Mandatory allergen labeling on all alcoholic beverages would be a significant advancement in consumer protection, ali ||| of all major food allergens used in the production of alcohol beverages subject to TTB&#39;s regulatory authority, and under the proposed regulations, labels must declare milk, eggs, fish, crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame, as well as ingredients that contain protein derived from these foods, if used in the production of the alcohol beverage and unless one of th ||| of all major allergens,milk, eggs, fish, Crustacean shellfish, tree nuts, wheat, peanuts, soybeans, and sesame&mdash;along with any ingredients containing protein derived from these sources, is essential. Alcoholic beverages are often consumed in social settings where individuals may not have immediate access to emergency medication, and where ingredient transparency is critical for making informe"
60,4,"enquiry, wto, tbt, behalf, submitted, point, china39s","The attached comments are submitted on behalf of Jiao Yang, Deputy Director General of China&#39;s WTO/TBT National Notification &amp; Enquiry Center.<br/> ||| The attached comments are submitted by the USA WTO TBT Enquiry Point on behalf of the WTO TBT Enquiry Point of Japan. ||| The attached comments are submitted by the USA WTO TBT Enquiry Point on behalf of the WTO TBT Enquiry Point of Japan."
59,4,"here, seems, really, plenty, quantitative, debate, brainer","This seems like a reasonable proposal that should be passed. A no brainer! ||| I think this does no harm so why not. Don&rsquo;t really see the need to debate here. 5 years is plenty of time to comply. ||| I am in support of this, but the third exception (TTB Petition) that is stated here seems really vague, and I think it could use some quantitative data behind it to help people who are considering using this option have a bit more clarity."
58,4,"recent, celiac, gluten, these, become, aleccia, linking","Allergens: As a person with Celiac Disease, which requires lifelong adherence to a diet without gluten, I enthusiastically support the labeling of alcoholic drinks for allergens. Gluten can be found in so many forms. Malt, barley, rye, wheat. It&rsquo;s often used in additional additives and it can be incredibly difficult to figure out which alcoholic drinks might have gluten as an extra additive. ||| has become in recent years(Center for Science in the Public Interest, 2024). U.S. Surgeon General Vivek Murthy wants to have the labels because of a recent study linking alcohol and cancer(Jonel Aleccia, 2025). Having these labels will be a good thing showing the public what they are putting into their body and what common allergens are in these products. The TTB is also asking for a comment on th ||| has become in recent years (Center for Science in the Public Interest, 2024). U.S. Surgeon General Vivek Murthy wants to have the labels because of a recent study linking alcohol and cancer (Jonel Aleccia, 2025). Having these labels will be a good thing showing the public what they are putting into their body and what common allergens are in these products. The TTB is also asking for a comment on "
57,4,"cancer, et, consumption, already, cost, government39s, toxicology","This is a non-issue pushed by nefarious actors who are actively pushing against the alcohol industry. This proposed rule would add increased cost to our labels, require the incurred cost of additional time to comply, and require us to change our labels at great cost to provide this information that NO consumers are asking for. People that consume alcohol are aware of the risks thanks to the existi ||| that most other consumable products already contain this detailed labeling. Why should alcohol be any different than other consumables, especially because alcohol consumption is identified by the United States federal government&#39;s National Toxicology Program as a known human carcinogen (see attachment)? Years of evidence have shown that there is no safe amount of alcohol to consume for cancer  ||| that most other consumable products already contain this detailed labeling. Why should alcohol be any different than other consumables, especially because alcohol consumption is identified by the United States federal government&#39;s National Toxicology Program as a known human carcinogen (see attachment)? Years of evidence have shown that there is no safe amount of alcohol to consume for cancer "
