topic_num,top_words,sample_comments,bertopic_dominant_topic,size,docket_id
17,"allergy, et, al, immunol, fish, parvalbumin, tuna","Sten et al., 2004; Helbling et al., 1999; De Martino et al., 1993). Fish Allergens: Parvalbumin as the Major Allergen The major allergen in codfish, namely Gad c 1, is a muscle protein that is a member of the parvalbumin family (Elsayed and Aas, 1971). The muscles of all fishes contain parvalbumins that are homologous, acidic proteins with molecular weights in the range of 11-12,000 Da that contro ||| C.; Stahl Skov, P.; Poulsen, L.K. 1997. Codfish allergy in adults. IgE cross-reactivity among fish species. Ann. Allergy Asthma Immunol. 78:187-194. Hilger, C.; Grigioni, F.; Thill, L.; Mertens, L.; Hentges, F. 2002. Severe IgE-mediated anaphylaxis following consumption of fried legs: definition of α-parvalbumin as the allergen in cause. Allergy 57:1053-1058. Hilger, C.; Thill, L.; Grigioni, F.; L ||| Cloning of two distinct cDNAs encoding parvalbumin, the major allergen of Atlantic salmon (Salmo salar). Scand J Immunol 44:335-344. Shiomi K, Hayashi S, Ishikawa M, Shimakura K, Nagashima Y. 1998. Identification of parvalbumin as an allergen in horse mackerel muscle. Fisheries Sci 64: 300-04. Shiomi K, Hamada Y, Sekiguchi K, Shimakura K, Nagashima Y. 1999. Two classes of allergens, parvalbumins a",17.0,2,TTB-2025-0003
35,"see, listings, radiation, 15, hydrocarbons, polycyclic, aromatic","and Cobalt Compounds That Release Cobalt Ions In Vivo (see Cobalt ‑Related Exposures) Cobalt–Tungsten Carbide: Powders and Hard Metals (see Cobalt ‑Related Exposures) p‑Cresidine Cumene Cupferron Dacarbazine Danthron 2,4‑Diaminoanisole Sulfate 2,4‑Diaminotoluene Diazoaminobenzene Dibenz[ a,h]acridine (see Polycyclic Aromatic Hydrocarbons: 15 Listings) Dibenz[ a,j]acridine (see Polycyclic Aromatic ||| Exposure to (see Ultraviolet Radiation Related Exposures) Tamoxifen 2,3,7,8‑ Tetrachlorodibenzo ‑ p‑ dioxin Thiotepa Thorium Dioxide (see Ionizing Radiation) Tobacco Smoke, Environmental (see Tobacco ‑Related Exposures) Tobacco Smoking (see Tobacco ‑Related Exposures) Tobacco, Smokeless (see Tobacco ‑Related Exposures) o‑Toluidine Trichloroethylene Ultraviolet Radiation, Broad‑Spectrum (see Ultrav ||| Hexachlorocyclohexane (Technical Grade), and Other Hexachlorocyclohexane Isomers 2‑Methylaziridine 5‑Methylchrysene (see Polycyclic Aromatic Hydrocarbons: 15 Listings) 4,4 ′‑Methylenebis(2‑ chloroaniline) 4,4 ′‑Methylenebis( N,N-dimethyl) benzenamine 4,4 ′‑Methylenedianiline and Its Dihydrochloride Methyleugenol Methyl Methanesulfonate N‑Methyl ‑N′‑Nitro‑N‑Nitrosoguanidine (see N‑Nitrosamines: 15",35.0,1,TTB-2025-0003
30,"pepsin, ph, kd, at, minutes, time, min","of the intermediate bands is not known. They may represent isinglass-derived peptides, or other fish proteins. The vague band between 6 and 14 kD may possibly represent parvalbumin, with a molecular weight of 12.3 kD, but from this investigation, there are no experimental data to support this. However, all of the protein bands in isinglass are quickly digested by pepsin. Food Allergy Research and ||| do not originate from pepsin. Digestibility of crude peanut extract - reference Crude peanut extract (CPE) (Figure 5) is characterized by a typical band pattern showing Ara h 1 (at approximately 63 kD as an intense, uniform band), Ara h 2 (a doublet at approximately 20 kD), Ara h 3 (a triplet at 42-45 kD, and bands at 25 kD, and 14 kD), and Ara h 6 (a single, less intense band at approximately 15 ||| three more distinct bands at approximately 25 kD, 45 kD, and 100 kD, and one vague band between 6 and 14 kD (Figure 1). Digestibility of isinglass at pH 1.2 Upon incubation with pepsin at pH = 1.2, isinglass is digested rapidly. The high molecular weight protein fraction was only visible at time points t = 0, 0.5 and 2 minutes. (Figure 2). At time point 0.5 minutes, a distinct band at approximatel",30.0,1,TTB-2025-0003
27,"food, ttb, allergen, allergens, major, the, that","to current good manufacturing practices and could be misleading. TTB is soliciting comments on the use of allergen advisory la beling. 4 BI Response: TTB should align its requirements with FDA's allergen disclosure requirements. TTB Request for Comment : TTB is proposing in 27 CFR 5.75(b)(2) that major food allergens, or ingredients containing major food allergens, need not be declared on a label ||| all TTB- regulated alcoholic beverages to label the top nine food allergens using the statement ""Contains Major Food Allergen(s)"" followed by a colon and the name of the food source(s) from which the food allergen(s) present is/are derived (i.e., milk, eggs, fish, shellfish, tree nuts, wheat, peanuts, soybeans, and sesame). Unlike FDA regulations, the species of finfish is not required for fish in ||| TTB is proposing rules for the mandatory labeling of major food allergens used in the production of alcohol beverages. Consistent with the FALCPA House committee report and TTB's statutory mandate under the FAA Act to promulgate regulations ensuring that consumers receive adequate information about the identity and quality of alcohol beverages, TTB believes that alcohol beverage labels should prov",27.0,1,TTB-2025-0003
43,"labeling, food, 27, cfr, allergystrong, allergen, and","The immune response can be described as a defense mechanism by which the body rids its of potentially harmful antigens. An immune response that persists and causes damage to the host can be termed as a hypersensitivity. Type I hypersensitivities are commonly referred to as allergies and the type of antigens that trigger type I hypersensitivities are called allergens. Examples of common food allerg ||| August 14, 2025 Division of Dockets Management Alcohol and Tobacco Tax and Trade Bureau U.S. Department of Treasury 1500 Pennsylvania Ave., N.W. Washington, D.C. 20220 Comment on Proposed Rule - Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages (Docket No. TTB-2025-0003) (Docket No. TTB-2025-0003) AllergyStrong is writing to encourage the Alcohol and Tobacco Tax and Tra ||| reactions. o Reactions are unpredictable and range from mild to fatal – each person's food allergy can become life-threatening even if their last multiple reactions to the same food have been manageable. AllergyStrong strongly encourages TTB to finalize the Major Food Allergen Labeling rule for many reasons: 1. Given the prevalence of food allergy, this is an issue of consumer safety. 2. The major",43.0,1,TTB-2025-0003
14,"isni0000, document, usa, proquest, 0004, department, university","1 ; Ramakrishnan, Charu 2 ; Deisseroth, Karl 2 ; Zhang, Zizhen 1 ; Zamponi, Gerald W 1 1 Department of Physiology and Pharmacology, University of Calgary, Calgary, Canada; Alberta Children's Hospital Research Institute, University of Calgary, Calgary, Canada; Hotchkiss Brain Institute, University of 20 June 2025 Page 9 of 23 ProQuest Calgary, Calgary, Canada; Cumming School of Medicine, University ||| Alexander P; Zhu-Ming, Zhang; Tinker, Lesley F; Yanosky, Jeff D; Liao, Duanping; Whitsel, Eric A Publication info: Environmental Health Perspectives (Online) 125.6 National Institute of Environmental Health Sciences. (Jun 2017) ProQuest document link Databases: Toxicology Abstracts (1981 - current) _______________________________________________________________ Document 69 of 77 GABA Effects Durin ||| of Excellence, NeuroCure, Berlin, Germany (GRID:grid.517316.7); German Center for 20 June 2025 Page 19 of 23 ProQuest Neurodegenerative Diseases (DZNE) Berlin, Berlin, Germany (GRID:grid.424247.3) (ISNI:0000 0004 0438 0426) Publication info: Nature Neuroscience 26.10 (Oct 2023): 1701-1712. ProQuest document link Databases: Toxicology Abstracts (1981 - current) _____________________________________",14.0,1,TTB-2025-0003
10,"hydroxyproline, was, beer, residues, isinglass, beers, of","using the antibody procedure as previously de scribed. At an addition rate of 2.26 mg isinglass (dry basis) / 100ml beer, the recovery ranged from 87 – 91.5%. Page of 17 11Appendix 3 Figure 5. Correlation of hydroxyproline concentration to isinglass content R2 = 0.9905 0 5 10 15 20 25 0 0.01 0.02 0.03 0.04 0.05 0.06 mg isinglass nmoles hydroxyproline derivative Survey of commercial small pack beer ||| pure form of fish collagen. The isinglass combines with proteins and yeast in suspension in the beer, causing the formation of large flocs which sediment out of the beer. In some beers these flocs are removed in the brewery by filtration of centrifugation. Such beers are described as brewery-conditione d beers. However, in some beer styles (known as cask- conditioned beers) the flocs ar e not remo ||| of quantification of this method, that is the concentration of isinglass in beer which can be distinguished from background levels of hydroxyproline, is 0.17 mg of isinglass / litre of beer (on an isinglass dry weight basis). This method has been used to quantify the concentration of isinglass residues which could be present in brewery and cask-conditioned beers, and also to determine whether ther",10.0,1,TTB-2025-0003
48,"brewers, notice, association, comments, 238, you, reg","or perhaps even most small brewers from the need for a regulatory-mandated label change. 15 90 Fed. Reg. 6651 (Jan. 17, 2025). 16 90 Fed. Reg. 5426 (Jan. 16, 2025). 17 See 90 Fed. Reg. at 5772. 18 See id. 7 * * * We thank you for your careful consideration of these comments and look forward to working with TTB on this important topic. Sincerely, Marc E. Sorini Vice President of Government Relation ||| industries, and the agencies that regulate them , are adjusting to the priorities of the new administration. There were many potentially impactful rulemakings published in the final days of the previous administration and then a regulatory freeze put in place on the first day of the new administration. Additional time will allow agencies, and the industries they regulate, to better understand new ||| Submitted via the Federal e-Rulemaking Portal Alcohol and Tobacco Tax and Trade Bureau (TTB) Attn: Amy Greenberg, Director Regulations and Ruling Division 1310 G Street, N.W., Box 12 Washington, DC 20005 Re: TTB Notice No. 238, Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages Dear Director Greenberg, I write on behalf of the Brewers Association (BA) to provide written",48.0,1,TTB-2025-0003
7,"isinglass, parvalbumin, process, buffer, maws, phosphate, washing","collagen; within the context of this petition ""isinglass"" is used exclusively to mean the collagen obtained from the dried swim bladders of the fish rather than from fish skins. Isinglass used in brewing (and wine) is a pure form of collagen derived from the dried swim bladders (known in the industry as ""maws"") of specific tropical and subtropical fish. Only a restricted range of species are used; ||| the swim bladders of some fish species that are used in the commercial production of isinglass. The Applicant provided analytical data on parvalbumin levels in eight isinglass samples from three commercial manufacturers. Using the anti-cod parvalbumin ELISA, six samples were below 10 µg/g, one sample at 34 µg/g and one below 1 µg/g. Various levels of parvalbumin were detected in the swim bladder o ||| Q1 Q1A Q2 Q3 Q4 Y / N 12 Stirring at 4 hourly intervals No hazards 13 Steeping for 16 hours in hydrogen peroxide Microbial Micro-organisms not killed by hydrogen peroxide 3 x 3 This process step Y Y Y 14 Drain and rinse No hazards 15 Soak in phosphate buffer for 1 hour. Drain off buffer and wash twice more with fresh water Chemical Parvalbumin 5x 3 This process step Y Y Y 16 Drain off steep liquor",7.0,1,TTB-2025-0003
6,"fish, collagen, isinglass, of, parvalbumin, swim, species","soluble and resistant to heat treatment and enzymatic degradation (Aas and Elsayed, 1975-[as cited in Chen et al. 2006]). Parvalbumins are the allergenic fish proteins, and possibly the sole allergens for most individuals with IgE-mediated allergy to fish. Parvalbumin is the allergen in several fish species including cod, salmon, carp, mackerel and tuna. Parvalbumin sequences from commonly consume ||| species used to manufacture isinglass contain parvalbumin, the allergenicity of isinglass is likely related to residual levels of parvalbumin in commercial isinglass. As previously noted (see FARRP-08-2006), very low levels of residual parvalbumin were found in isinglass. The following section will describe the results of clinical oral challenge trials with isinglass on fish-allergic individuals w ||| beers and ales. Isinglass is prepared from the swim bladders of various species of tropical fish. Collagen is the primary component of isinglass. Molecular weights of well over 200 kilo Daltons (kD) are described for collagen preparations. Parvalbumin, a comparatively small protein from fish muscle, is widely considered as the major pan-allergen from fish (Taylor et al., 2004a). Fish collagen is n",6.0,1,TTB-2025-0003
52,"foundation, mph, public, rule, interest, food, 74","beverages . . ."". Our support is further guided by input from professional organizations providing medical guidance related to allergen labelling. The American Academy of Allergy, Asthma, and Immunology explains that, ""Teens and young adults may need to be reminded or taught anew that the Food Allergen Labeling Consumer Protection Act (FALCPA) does not cover alcoholic beverages. Th ||| Conclusion In the two decades CSPI has been advocating for allergen disclosure on alcohol, consumers with allergens have been left without access to this basic information that is present on nearly all other foods and beverages. Finalizing this proposed rule to require on-package disclosure of the top nine major food allergens on alcoholic beverages would be an important and commonsense step towar ||| ingredients (88%) would be at least somewhat important for deciding whether to purchase a particular alcoholic beverage.3 TTB should make clear in the final rule that this vital safety information should never be provided solely via QR code, as this would specifically disadvantage populations that are less able to utilize smart phones or similar technology (including those who are older or living",52.0,1,TTB-2025-0003
5,"wine, wineries, to, is, be, small, and","for the three nutrients required to be disclosed, allowing a tolerance of 20 percent above or below the labeled amount. TTB believes that these proposed changes will facilitate the use of ""typical values"" charts and other methodologies to calculate the calories, carbohydrates, fat, and protein content of an alcohol beverage product. TTB is also proposing to expand the alcohol content tolerance for ||| ROYAL WINE CORP. 63 LEFANTEWAY BAYONNE. NJ wow F 718.486.8 943 3/26/2025 Director, Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW. Box 12 Washington, DC 20005 Comment for Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Dear Director, As the CEO of a major import and distributing company, working wit ||| Page 1 of 10 August 15, 2025 Ms. Amy Greenberg Director, Regulations and Rulings Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, DC 20005 RE: Docket No. TTB-2025-0002, Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Dear Ms. Greenberg, Wine Institute is the public policy advocacy association representin",5.0,29,TTB-2025-0002
6,"to, is, be, not, people, this, alcoholic","The beer, wine, and distilled spirits industry should not need to be so heavily regulated by the government with regards to serving size, calories, allergens, etc. The wine industry especially has been around for thousands of years and we need to not be ""helicopter parents"" consumers know how many calories are in a glass of wine, in a can of beer, and in a shot glass of spirits Doing thi ||| requirements? Our position highli ghts that requiring the ""Alcohol Facts"" panel on labels would not genuinely benefit consumers. From a public health perspective, the true objective of alcoholic beverage labeling is to discourage harmful alcohol consumption. Including nutritional information on labels could easily lead people to believe that these beverages have some sort of health benefit, which ||| requirements? Our position highli ghts that requiring the ""Alcohol Facts"" panel on labels would not genuinely benefit consumers. From a public health perspective, the true objective of alcoholic beverage labeling is to discourage harmful alcohol consumption. Including nutritional information on labels could easily lead people to believe that these beverages have some sort of health benefit, which",6.0,26,TTB-2025-0002
-1,"and, the, to, of, for, alcohol, facts","Comments from Argentina – Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Title of the Alcohol Beverage Information Statement We consider that the title ""Alcohol Facts"" better describe the information provided inthe proposed statement. Mandatory Calorie and Nutrient Information Following the same rationale applied to nutritional information, ||| **Comments from Argentina – Notice No. 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages** Title of the Alcohol Beverage Information Statement *We consider that the title ""Alcohol Facts"" better describe the information provided inthe proposed statement.* Mandatory Calorie and Nutrient Information *Following the same rationale applied to nutritional infor ||| August 15, 2025 Ms. Amy Greenberg Director, Regulations and Rulings Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street, NW Box 12 Washington, DC 20005 RE: Docket No. TTB 2025-0002; Notice 237: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages WineAmerica is the National Association of American Wineries. We represent wineries, winery associations,",-1.0,24,TTB-2025-0002
2,"health, alcohol, and, of, alcoholic, the, cancer","45 minutes.2 According to National Highway Traffic Safety Administration (NHTSA), driving under influence deaths were highest among young individuals aged 21 to 24 yrs (29%) and 25-34 yrs (28%).3 Excessive consumption of alcohol causes 178,000 deaths each year in the US, and leads to chronic heart and liver diseases, stroke, digestive issues, cancer and weakened immune system.4,5 It also has cause ||| on the labels of alcoholic beverages, either somewhat or strongly.7 Whereas, 72% to 90% respondents supported having more information on the labels as it would impact their choice to purchase alcohol.7 A systematic review done in the UK also shows moderate evidence of labeling calories and ABV on purchasing choices of consumers showing increased preference for alcoholic beverages with calorie coun ||| August 15, 2025 Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, DC 20005 Comment on Proposed Rule: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages (Docket No. TTB-2025-0002) The undersigned organizations call on the Alcohol and Tobacco Tax and Trade Bureau (TTB) to finalize the proposed rule mand",2.0,24,TTB-2025-0002
12,"files, attached, see, file, upload, system, please",See attached file(s) ||| See attached file(s) ||| See attached file(s),12.0,17,TTB-2025-0002
3,"spirits, the, and, small, of, in, distilled","August 15, 2025 Amy Greenberg Director, Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, DC 20005 Re: Comments on TTB Notice No. 237, Docket No. TTB-2025-0002: Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Dear Director Greenberg: I write as President and CEO of the American Distilled Spirts All ||| August 15, 2025 Director Regulations and Ruling Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW, Box 12 Washington, D.C. 20005 RE: ACSA's Comments on Notice No. 237 Alcohol Facts Statement in the Labeling of Wine, Distilled Spirits, and Malt Beverages [Submitted electronically on https://www.regulations.gov] Introduction This is a challenging time for U.S. small businesses, and ||| Distilled Spirits Council of the United States 101 Constitution Ave. NW , Suite 350 West Washington, DC 20001 August 15, 2025 Ms. Amy Greenberg Director, Regulations and Rulings Division Alcohol and Tobacco Tax and Trade Bureau 1310 G Street NW , Box 12 Washington, DC 20005 Re: Alcohol Facts Statements in the Labeling of Wine, Distilled Spirits, and Malt Beverages (Notice No. 237; Docket No. TTB–2",3.0,14,TTB-2025-0002
0,"serving, size, the, of, to, oz, alcohol","understand clearly displayed information. 9. Serving Size Reference Amounts 9.1. Are the proposed reference amounts a reasonably accurate representation of the amount of the product customarily consumed as a single serving? If not, what data or other information should TTB consider that would give a better estimate of the amount customarily consumed for a specific product category? TTB should foll ||| administrative burdens. Moreover, having the alcohol content displayed in two different places with differing values could lead to labeling errors and mislead consumers.* Mandatory Statement of Alcohol in Fluid Ounces of Pure Alcohol per Serving *If it is mandatory to indicate the alcohol content as a percentage by volume, requiring additional information about the alcohol content per serving size ||| burdens. Moreover, having the alcohol content displayed in two different places with differing values could lead to labeling errors and mislead consumers. Mandatory Statement of Alcohol in Fluid Ounces of Pure Alcohol per Serving If it is mandatory to indicate the alcohol content as a percentage by volume, requiring additional information about the alcohol content per serving size or standard drin",0.0,13,TTB-2025-0002
8,"wineries, wine, small, and, winery, businesses, this","As the proprietor, I am writing to express my concerns regarding the Alcohol and Tobacco Tax and Trade Bureau's (TTB) proposed rule, Notice No. 237 and Notice No. 238, which would mandate the inclusion of ""Alcohol Facts"" statements on wine labels. While I support initiatives that promote informed consumer choices, I am apprehensive about the economic and operational challenges th ||| relationship. Operational Challenges Implementing the ""Alcohol Facts"" labeling would require wineries to conduct detailed analyses of their products to determine accurate nutritional content. This process involves laboratory testing and compliance verification, demanding both time and financial resources. Small wineries may find it particularly challenging to absorb these costs without compromisin ||| Alcohol and Tobacco Tax and Trade Bureau Regulations and Rulings Division 1310 G Street, NW, Box 12 Washington, DC 20005 Dear Alcohol and Tobacco Tax and Trade Bureau, As the proprietor of Georgia Winery, | am writing to express my concerns regarding the Alcohol and Tobacco Tax and Trade Bureau's (TTB) proposed rule, Notice No. 237 and Notice No. 238, which would mandate the inclusion of ""Alcohol",8.0,13,TTB-2025-0002
1,"qr, information, the, digital, to, codes, code","mandatory refers to disclosures that regulations require. 2 What is GS1 Sunrise 2027? | GS1 US. 2 QR codes are the most common digital means being used at this time to connect to an e-label. While future advancements in technology may lead to replacement s for QR code s, these principles will still apply to the use of such replacements. 1. Use of e -labelling to provide information to wine consume ||| Allowing the use of QR codes would significantly reduce the financial burdens for industry members to comply, provide efficiencies as they are already being utilized on bottles in the United States and across multiple international marketplaces for this purpose and can be geo- tagged for individual markets, and permit producers to quickly change the information without needing to revise logistics and ||| to include a link on the e -label at the end of the mandatory information inviting consumers to ""click here"" should they desire access to additional voluntary information. 4. The number of QR codes on a given label should be minimized: Governments should permit a single QR code on a wine label to serve more than one purpose. A single QR code has nearly unlimited uses. In some jurisdictions, a sing",1.0,12,TTB-2025-0002
4,"fat, sugar, alcohol, beverages, be, of, consumers","specifically seeks comments on whether fat and protein, which are not typically found in certain alcohol beverages, should be listed only if present at specific levels. If so, what levels should trigger these requirements? TTB also seek comments on whether any other nutrients, such as sodium, caffeine, or sugar, should be required to be listed if present at a specific level, even if they do not other ||| There is already an expectation that labeling is different. Mandatory Calorie & Nutrient Information 1. Should TTB's proposed nutrient content labeling statement be more consistent with the Nutrition Facts Label found on foods that are under FDA's labeling jurisdiction? Alternatively, do the differences between alcohol beverages and other foods make it unnecessary, or even misleading, to adopt the ||| an expectation that labeling is different. Mandatory Calorie & Nutrient Information Should TTB's proposed nutrient content labeling statement be more consistent with the Nutrition Facts Label found on foods that are under FDA's labeling jurisdiction? Alternatively, do the differences between alcohol beverages and other foods make it unnecessary, or even misleading, to adopt the type of nutrient la",4.0,9,TTB-2025-0002
15,"trade, new, would, international, labeling, costs, technical","identity and quality of alcohol beverages if alcohol beverage containers do not include Alcohol Facts labeling? How do those benefits compare to the cost s and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide significant ben efits to the consumer and would generate u ||| not include Alcohol Facts labeling? How do those benefits compare to the costs and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide any benefits to consumer s and would generate unnecessary costs and regulatory burdens. 7. How, if at all, would the new mandatory labe ||| not include Alcohol Facts labeling? How do those benefits compare to the costs and regulatory burdens associated with such revisions? The current information on alcoholic beverage labeling is sufficient. The inclusion of the ""Alcohol Facts"" panel would not provide any benefits to consumer s and would generate unnecessary costs and regulatory burdens. 7. How, if at all, would the new mandatory labe",15.0,9,TTB-2025-0002
21,"clutter, becomes, qr, code, this, labels, up","This label requirement will not help the consumer to make informed decisions. It will just clutter the label and confuse the consumer. If this becomes a requirement, please allow a QR code to be printed in the label and lined to the website ||| There is no need to clutter up the labels with excessive information. my primary suggestion is if this info becomes required, that the TTB allow it to be provided with a QR code instead of having to clutter up labels with all that additional (& ugly!) text. ||| I find this unnecessary but if it becomes mandatory do not clutter up more product labels (consumers will NOT read more clutter) use a QR code.",21.0,8,TTB-2025-0002
14,"health, and, to, public, transparency, this, is","is provided for food, soda, or even bottled water. We deserve to know what's in the products we consume. 3. Safety and Allergen Disclosure – Hidden ingredients and allergens can pose real dangers. Requiring full disclosure helps protect individuals with dietary restrictions, allergies, or intolerances. 4. Public Demand – The majority of Americans support this change. Transparency builds trust, sup ||| Public Comment on The Alcohol and Tobacco Tax and Trade Bureau (TTB) Proposed ""Alcohol Facts"" Labeling Rule To: Alcohol and Tobacco Tax and Trade Bureau (TTB) Re: Docket No. TTB-2025-0002 – Proposed Rule on Alcohol Facts Labeling I am writing to express my support for the Alcohol and Tobacco Tax and Trade Bureau's proposed rule to mandate an ""Alcohol Facts"" label on alcoholic beverage products. Th ||| April 4, 2025 ATTN: Alcohol and Tobacco Tax and Trade Bureau SENT VIA ONLINE PUBLIC COMMENT SUBJECT: Support for Mandatory Nutrition and Ingredient Labeling on Alcoholic Beverages Dear TTB Administrator, I am writing to express my strong support for the proposed rules requiring standardized nutrition and ingredient labeling on alcoholic beverages (Docket Nos. TTB–2025–0002 and TTB–2025–0003). This",14.0,8,TTB-2025-0002
23,"qr, think, manufacturer, code, batch, wait, have","We have enough regulations on the industry as it is. We do not need caloric or serving size or nutritional information on the labels. There is no benefit to adding this information to the labels, only to force producers to have their products tested by ""certified"" labs which will severely hamper the small producer with multiple products. This is a ridiculous proposal and government overr ||| As a small brewery owner this would be very expensive and overly burdensome as we make a lot of small batch pilot beers and offer them for sale direct to consumer. We do not have the ability to measure caloric content on finished product and would need to send samples out and wait for results back on beers that we release weekly from our smaller system. Our State requires COLA approval even if the ||| I work in the beer industry. I welcome this discussion. However, I don't think the change in label requirements will have the desired effects proponents want. I think there will be significant unintended consequences that do not benefit the consumer and burden the manufacturer. 1. Most products could go into containers (boxes, wraps, etc…) that the TTB is unauthorized to reg",23.0,7,TTB-2025-0002
19,"spirits, fevs, billion, spiritseurope, exports, wines, comments","spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits' first export market in value, with exports worth €2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comment ||| spiritsEUROPE rue Belliard, 12 – Bte 5 | 1040 Brussels, Belgium Tel: + 32 (2) 7792423 | info@spirits.eu | www.spirits.eu spiritsEUROPE Comments Notification G/TBT/N/USA/2182 Alcohol Facts Statements in the Labeling of Wines, Distilled Spirits, and Malt Beverages Introduction spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associati ||| 10, Rue Pergolèse – 75116 PARIS – Tel +33 1 45 22 75 73 – contact@fevs.com August 11 th, 2025 Comments filed on behalf of FEVS (Fédération des Exportateurs de Vins et Spiritueux de France) Filed via www.regulations.gov Re: TTB‐2025‐0002: Alcohol Facts Statements in the labelling of wines, distilled spirits, and malt beverages The French Federation of Wine and Spirits Exporters (FEVS), appreciates",19.0,7,TTB-2025-0002
25,"attached, comment, please, dear, my, informationbrbrplease, labelingbrbrsincerelybrmary","On behalf of Alcohol Justice Executive Director Cruz Avila, our comment is attached as a PDF. ||| Attached please find a comment from the Physicians Committee for Responsible Medicine. ||| Please see our comment letter attached.",25.0,6,TTB-2025-0002
24,"attached, see, pdf, please, comment, ,",See Attached ||| See Attached ||| See Attached,24.0,6,TTB-2025-0002
42,"breweries, are, lab, cost, be, require, able","Allergen information and nutritional labels should be provided on every package so that consumers are best able to make fully educated decisions about the products they are consuming. There should be no exceptions ||| Requiring small breweries to list nutritional facts on their labels would place an undue burden on them, as it would necessitate sending each unique product to a lab for analysis—an expensive and time-consuming process. Unlike large-scale producers, small breweries often release limited batches or seasonal brews, making repeated testing financially and logistically challenging. This added re ||| This is a non-issue pushed by nefarious actors who are actively pushing against the alcohol industry. This proposed rule would add increased cost to our labels, require the incurred cost of additional time to comply, and require us to change our labels at great cost to provide this information that NO consumers are asking for. People that consume alcohol are aware of the risks thanks to the existi",42.0,4,TTB-2025-0002
30,"year, taxed, spirits, distilleries, revenue, removals, tax","In 2024 total beverage alcohol volumes declined year over year for the first time in many years. This proposal will increase the decline further and put the alcohol industry into a deeper recession. Is now really the time to implement these changes that will be more difficult on the smaller producers? Long term this proposal will result in lowered revenue across the board for all produce ||| small distilleries to purchase. We believe that only a relatively small portion of distilled spirits produced by small distillers under a 1 percentage point tolerance would have a low enough alcohol content to experience a significant variation in alcohol content. We also acknowledge that labeled vs. actual alcohol content carries different tax implications for distilled spirits than for malt beve ||| and increasingly difficult marketplace in which to operate. The slowing post-pandemic marketplace has hampered U.S. spirits industry revenue, which decreased by $424M in 2024—a 1.1% year over year decline 7—and these trends have only continued in 2025. According to the National Beverage Alcohol Control Association (NABCA), in control states, spirits dollar sales are down 1.4% annually in the 12-mont",30.0,3,TTB-2025-0002
34,"pg, peg, transparency, and, food, or, in","Propylene glycol (PG) and polyethylene glycol (PEG) are chemical compounds used in various food and pharmaceutical products, including some alcoholic beverages, primarily as stabilizers, solvents, or carriers for flavorings. Disclosing these substances on alcoholic beverage labels is important for several reasons: ⸻ 1. Consumer Health and Safety • Allergic Reactions and Sensitivit ||| July 14, 2025 Mary G. Ryan Administrator Alcohol and Tobacco Tax and Trade Bureau (TTB) U.S. Department of Treasury Comment on Proposed Rules re Alcohol Facts Statements, Major Food Allergens in the Labeling of Wines, Distilled Spirits, and Malt Beverages (Dockets No. TTB-2025-0002; TTB-2025-0003) VIA ONLINE SUBMISSION Dear Administrator Ryan: Consumer Federation of America appreciates the opportu ||| that may cause adverse reactions.2 A product that was once safe to consume may change formulations without the consumer's knowledge. This lack of labeling creates unnecessary risk for individuals with food sensitivities or health conditions. While this proposed rule does not address allergen disclosure, like that of Docket No. TTB-2025-0003,3 it lays the foundation for consumer transparency among",34.0,2,TTB-2025-0002
